sealisanacronymfor,sea air land
thewordsbungalowandshampoocomefromthelanguagesofwhichcountry,india
whatwasthefirstdisneymovieinwhichnoneoftheanimalsorcreaturescantalk,pocahontas
thesugarplumfairyisacharacterfromwhichballet,the nutcracker
whatwasthenameofthefictionalpiratecaptainhooksship,jolly roger
whichfamousfashiondesignerwasgunneddownoutsidehishomeinmiamibeachfloridain1997,gianni versace
whichancientworldwonderwasfoundinalexandria,the lighthouse
parkerandbarrowwerethesurnamesofwhichfamouscouple,bonnie and clyde
thethememoryofwhichqueenwere12crosseserectedbetweenlincolnandlondon,eleanor of castile
americanbornlarryadlerwasagreatvirtuosoonwhichinstrument,harmonica
whichofthesefamousauthorsdidnotcommitsuicide,ian fleming
accordingtothebibleonwhatdaydidgodmakethesunmoonandstars,fourth day
howtallininchesisahorsethatmeasures15handshigh,60
whatmagazinedidmultimillionairewalterannenbergfoundin1953,tv guide
whatisthehighestrankedusmilitaryawardforbravery,medal of honor
whichfashionhousewasbornofanineteenthcenturyfrenchtrunkmanufacturer,louis vuitton
intermsofmusicalswhoaremarcoandgiuseppe,the gondoliers
calledthekingofterrierswhatisthelargestbreedofterrierdog,airedale terrier
in1911whobecamethefirstexplorertoreachthesouthpole,roald amundsen
whatcolorstripeisnotonabarberpole,black
killedatthe1805battleoftrafalgarastatueofwhichbritishnavalherotowersovertrafalgarsquare,horatio nelson
erichweissisbetterknownbywhatname,harry houdini
whicheuropeancountryhadthezlotyasitscurrency,poland
howmanyplayersareonagaelicfootballteam,15
ofthesixlargestcitiesinnewzealandwhichistheonlyonethatresidesonthesouthisland,christchurch
thehugoawardsareawardedeveryyearforachievementinwhat,sci-fi/fantasy writing
inwhicholympiceventmightyouencounterthetermseggbeaterandflamingo,synchronised swimming
grownmostinbangladeshjuteisanaturalfiberusedtocreatehopetwineandthiscoarsefabric,burlap
whoinventedtheworldwideweb,tim berners-lee
whatteamsporthasapositioncalledalibero,volleyball
inthefilmbladerunnerwhatnamewasgiventorobotswithahumanappearance,replicants
thephraseshotheardroundtheworldreferstowhat,american revolution
whoinventedthespinningjenny,hargreaves
czechoslovakiaformallyseparatedintotwodifferentcountriesonjanuary1ofwhatyear,1993
whatoperasingerwhowasonceamobilephonesalesmanwonthefirstseriesofbritainsgottalentin2007,paul potts
whichstatedidtheusabuyfromrussiain1867,alaska
whocomposedthemusicfortheballetthetalesofhoffmann,offenbach
neworleansislocatedonthebanksofwhatriver,mississippi
whichwatchmakerisregardedasthefatherofenglishclockmaking,thomas tompion
oneofthefirstgreatfemaleafricanamericanauthorssheisbestknownfortheireyeswerewatchinggod,zora neale hurston
inwhichcityistheworldfamouscomplexofbuildingsknownasthekremlin,moscow
whichfestivalliterallymeansfattuesday,mardi gras
inwhichcontinentwillyoufindtheatlasmountains,africa
youknowaboutthemonalisassmilebutyoumaynothavenoticedthatsheismissingsomethingwhat,eyebrows
whoassassinatedrobertfkennedy,sirhan sirhan
whichcarisafamousporschemodel,carrera
whichcompanyistheworldstopproducerofbowlingequipmentandoneofthelargestbilliardtablemanufacturers,brunswick
whatprofessiondidaugusteescoffierhave,chef
outdoorsportinggoodsandclothingretailerllbeanwasfoundedin1912inwhatstate,maine
vexillologyisthestudyofwhat,flags
whatistheprincipaloreofaluminium,bauxite
whatwouldascotsmancarryinhissporran,his money
afteryouhaverolleddoublesinmonopolyyoudoyoudo,roll again
landcruiserhavebeenmadebywhatautomakersince1951,toyota
whatyeardidfacebookdebut,2004
in1893whichcountrybecamethefirsttograntwomentherighttovote,new zealand
whichoftheseisnotadinosaur,thesaurus
whatpopulardanceoriginatedinargentina,tango
whatistheaveragespeedofarunnerwhorunsafourminutemile,15 mph
whowastheauthorofsuchbooksasthestrangerthefallandtheplague,albert camus
bywhatotheracidicnameisvitamincalsoknown,ascorbic acid
howmanyacresfitinsideofahectare,2.47
whichfruitispureedandstrainedtomakepassata,tomato
whichcomediennescoredanewyorktimesbestsellerin2011withhercomedicautobiographybossypants,tina fey
whatcountrygavetheworldthecrocs,tanzania
surprisingtosomewhichnorthernarizonacityisoneofthetenhighestintheusforaverageannualsnowfall,flagstaff
whatistheliteralmeaningofthecitynamereykjavikhomecityofquizup,smoky bay
inmythologywhatweremedusasthenoandeuryalecollectivelyknownas,the gorgons
amongwhich19thcenturyauthorsshortstoriesarethepitandthependulumandthecaskofamontillado,edgar allan poe
whatisabrownthrasher,bird
inwhichshakespeareplaydoportiabassanioandantonioappear,the merchant of venice
whichofthefollowingsharkspeciesarenotconsideredoneofthetopthreemostdangeroustohumans,hammerhead
whowrotetheunfinishedsymphony,schubert
whichofthesewouldbemostlikelytouseametronome,musician
fromwhatcountryispamelaanderson,canada
georgelucasdirectedwhatfilmreleasedin1977,star wars
whatcolourribbonwasadoptedin1991asasymbolofaidsawareness,red
amongthispulitzerwinningauthorsfamousnovelsareamericanpastoralandportnoyscomplaint,philip roth
whichmusicalinstrumentiscalleddudelsackingermanandzampognainitalian,bagpipes
inwhichcitydidthesaintvalentinesdaymassacretakeplace,chicago
namethemissingdnanucleobasethymineadeninecytosine,guanine
whatmusicstudiogaveelvispresleycarlperkinsandjerryleelewistheirstarts,sun
whichmoontraditionallycomesaftertheharvestmoon,hunter's moon
housedinabuildingbigenoughtohold9footballpithesinsidetheworldslargestflowerauctionhouseislocatedwhere,the netherlands
whatisthebroadestmeasureoftheusstockmarket,wilshire 5000
whatpopularpixaranimatedfilmpartiallytakesplaceinthecityofmetroville,the incredibles
bestknownforhisnovelswhatwritersnonfictionincludedansemacabreandonwritingsamemoirofthecraft,stephen king
howmanyhoopsareusedinagameofcroquet,six
whatisthemaximumnumberofclubsagolfermaycarrylegallyinhishergolfbag,14
whichcountryhasnotfoughtawarsince1815,switzerland
thebarrylevinsonfilmsdinertinmenavalonandlibertyheightsalltakeplaceinwhichuscity,baltimore
thisvideogamecompanyfoundedin1991createdstarcraftdiabloandworldofwarcraft,blizzard entertainment
inwhichofthefollowingnonfictionbookswouldyoufindnumerousreferencestodeepthroat,all the president's men
inwhatyeardidmichaeljacksondie,2009
whichscaleisusedtomeasurethespicyheatofchilipeppers,scoville scale
whowasawardedthe1981bookerprizeforthenovelmidnightschildren,salman rushdie
whatnameisgiventoanottersden,holt
asof2005whichofthesejobshasbarbienotheld,planned parenthood counselor
thisfamedactorwhodiedindecember2013heldarecordwitheightactingoscarnominationswithoutawin,peter o'toole
whatisapolygraphusedfor,lie detecting
whatcolorissonicthehedgehog,blue
cslewiswrotethechroniclesofnarniawhatdotheletterscsstandfor,clive staples
whichfolktriorecordedpuffthemagicdragonin1963,"peter, paul, and mary"
fromworldwariito2015halftheamericanpresidentshavehadwhatcharacteristicwhich90ofamericansdonthave,left-handed
whatspeciesofbirdbuildsthelargestnestsinnorthamerica,bald eagle
whattypeofinsectisthespanishfly,beetle
inwhicheuropeancapitalcitywillyoufindthetrevifountain,rome
in2012supermangotanewgirlfriendwho,wonder woman
whatwentonthemarketbeginningin1998,viagra
paulhewsonisbetterknownbywhatstagename,bono
chicagostandsontheshoresofwhichlake,michigan
visitedbypopefrancisin2013thiscountryhasmorecatholicsthananyothercountryintheworld,brazil
thelabelonabottleofsrirachasauceassoldintheusfeaturesapictureofwhichanimal,rooster
howmanysquaresmakeupastandardsnakesampladdersboard,100
whowasthefirstfemaleprimeministerofgreatbritain,margaret thatcher
seleneisthegreekgoddessofwhat,moon
thepresidentworksinthewestwingwheredoesthevicepresidentwork,old executive office building
inwhichcountrywouldyoubeifyouwerespendingadong,vietnam
mostearlypaintballgunsusedwhatpressurizedgastolaunchpaintballsatotherplayers,carbon dioxide
majorcaminorcaandibizaarethemainislandsofwhichgroup,balearic islands
wherearetheatlasmountains,north africa
whichcityinnewsouthwalesaustraliaisinadifferenttimezonefromtherestofthestate,broken hill
whichhorrorstoryissubtitledthemodernprometheus,frankenstein
thereoncewasamanfromnantuckethelivedonanislandinwhatusstate,massachusetts
locatednearnurburggermanywhatisthenurburgring,automobile racetrack
shivaisanimportantdeityinwhichreligion,hinduism
whichoftheseisnotamoonofjupiter,triton
thisbluerockguitaristandhisbandthedestroyerswerebadtothebonein1982,george thorogood
inwhatyearwasthecubanmissilecrisis,1962
whichwasthefirstuscitytohosttheolympicgames,st. louis
whatagewasgeorgeforemanwhenhewontheworldheavyweightchampionshipin1994,45
whichcountryhasasitsanthemthesoldierssong,ireland
inwhatcountrymightyouenjoyamcsalmonburgeralongsideaplateofmcspaghetti,singapore
whichofthesearetouristattractionsinegypt,pyramids
whatwasthefirstcapitalcityotbebombedfromtheair,paris
wheredoesapineapplegrow,on the ground
scrumpyisaformofwhichdrinkthatistraditionallymadeinthewestcountryofengland,cider
theplotofthefilmandbookmoneyballrevolvearoundwhatprofessionalbaseballteam,oakland athletics
inwhichlanguagewasthechristmascarolsilentnightoriginallywritten,german
citiesinthisusincludenampamoscowandcoeurdalene,idaho
in2007whichcountrywasselectedtohostthe2014fifaworldcup,brazil
rigelandbetelgeusearetwostarsinwhatconstellation,orion
withwhichcountrydidtheukfightthecodwarinthe1960s,iceland
servingfrom20102013whowasaustraliasfirstfemaleprimeminister,julia gillard
whichcreaturelivesinasett,badger
whichmajorleaguebaseballteamplaysitshomegamesatcamdenyards,baltimore orioles
aterrificmoviebutinwhichcountrywillyoufindcasablanca,morocco
whichofthefollowingpowertoolsareyounotlikelytofindinawoodworkingshop,tumbler
presidentfranklindrooseveltsmiddlenamewaswhat,delano
inwhichsportmightaparticipantperformaveronica,bull fighting
beforecofoundingthedoughnutstorechainthatbearshisnametimhortonfirstgainedfameasawhat,hockey player
thekomododragontheworldslargestlizardcanonlybefoundinthewildinwhatcountry,indonesia
whoisthekardashiansfamousstepfather,bruce jenner
whichofthesebritishautomobilemanufacturershasnotgoneoutofbusiness,bentley
whatmacuserwasthefirstpresidenttohavealaptoponhisovalofficedesk,barack obama
whichusstateisknownasthevolunteerstate,tennessee
gotyourmusiconanmp3whatdothelettersmpstandfor,moving picture
whichformeruspresidentwasawardedanobelpeaceprizein2002,jimmy carter
howlongdidittakeapollo11toflytothemoon,4d 6h 45mn
whichcountrywasformerlyknownasceylon,sri lanka
whatwasmahatmagandhisfirstname,mohandas
whatisthecapitalofuruguay,montevideo
whatfaditemwasinventedbybritishaccountantedwardcravenwalkerin1963,lava lamps
whatisthenationalsportofengland,cricket
inwhatyearwastheoriginalkingkongmoviereleased,1933
whoreleasedthe2011viralvideofriday,rebecca black
consideredthetraditionalorsymboliccolorofislamwhichcolorappearsintheflagsofmostmuslimcountries,green
whopromotedthedevelopmentofthevolkswagenbeetle,adolf hitler
adherentsofwhichreligionobservehanukkah,judaism
whichpopulargermandishismadewithrabbit,hasenpfeffer
whatisachanterelle,type of mushroom
ifyouarestandingbetweenthecharlesandmysticriverswhatuscityareyouprobablyin,boston
wherewaspaulvasquezwhenhefilmedhisdoublerainbowviralvideo,yosemite national park
inwhichcanadianprovinceisthecaptalottawa,ontario
howmanypeoplehadtvsin1945,7000
the1997filmmrsbrownwasabouttherelationshipbetweenhisbritishmonarchandherservant,queen victoria
inwhichcitywaschristophercolumbusborn,genoa
howmanychroniclesofnarniabooksarethere,7
whichpopularpastryismadewithphyllodough,baklava
kungfuoriginatedinwhatcountry,china
stephankingsecretlypublishedfivenovelsusingwhatpseudonymbetween1977and1984beforebeingdiscovered,richard bachman
leeharveyoswaldassassinatedjfkwhokilledoswald,jack ruby
whichwriterdisappearedfor11daysindecember1926sparkingahugemanhunt,agatha christie
saltsofwhichmetallicelementareoftenusedasatreatmentforbipolardisorder,lithium
whichdisneycharacterprovidedanicknameforbritishprimeministertonyblair,bambi
whichwordmeansshapedlikeahelmet,galeate
wherewouldyoufindnikeofsamothraceandlibertyguidingthepeople,louvre
ailurophobiaisafearofwhat,cats
howmanyblanktilesareavailableatthebeginningofastandardscrabblegame,2
whichhotrootvegetableissometimescalledjapanesehorseradish,wasabi
howmanyyearsdidnelsonmandelaspendinprison,27
whichhotrootvegetableissometimescalledjapanesehorseradish,wasabi
howmanyblanktilesareavailableatthebeginningofastandardscrabblegame,2
ailurophobiaisafearofwhat,cats
howdoyouspellthenameofthefamousleekandpotatosoupthatisusuallyservedcold,vichyssoise
leonardodavinciwasafamousscientistartistandinventorborninwhatcountry,italy
whatpastimealsoknownasducksanddrakesintheuksawrusselbyarssetaworldrecordat51,skipping a stone on water
whatis25ofthreescore,15
in2011thisitalianautomakergainedmajoritycontrolofusautomakerchrysler,fiat
whatalcoholicdrinkismadefromjuniperberries,gin
